nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;sizePron;hwd;pronSampa;ipa
3;aʹbăcus;;;;n.;2.0;19;abacus;7;abacus;{ b @ k @ s;æbəkəs
3;ābăʹndon;F.;;;v.;5.0;19;abandon;8;abandon;@ b { n d @ n;əbændən
4;ābăʹndŏned;;;;a.;6.0;19;abandoned;10;abandoned;@ b { n d @ n d;əbændənd
2;ăbăʹſh;F.;;;v.;9.0;19;abash;6;abash;@ b { S;əbæʃ
2;ăbāʹte;F.;;;v.;10.0;19;abate;6;abate;@ b eI t;əb?t
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;abatement;12;abatement;@ b eI t m @ n t;əb?tmənt
2;ăʹbbey;;;;n.;13.0;19;abbey;6;abbey;{ b i:;æbiː
2;ăʹbbŏt;;;;n.;14.0;19;abbot;6;abbot;{ b @ t;æbət
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;abbreviate;11;abbreviate;@ b r\ i: v i: eI t;əbɹiːviː?t
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;abbreviation;13;abbreviation;@ b r\ i: v i: eI S @ n;əbɹiːviː?ʃən
3;ăʹbdicāte;L.;;;v.;17.0;19;abdicate;9;abdicate;{ b d @ k eI t;æbdək?t
3;ăbdōʹmen;;;;n.;18.0;19;abdomen;8;abdomen;{ b d @U m @ n;æbdoʊmən
2;ăbĕʹt;;;;v.;19.0;19;abet;5;abet;@ b E t;əbɛt
3;ăbeʹyănce;F.;;;n.;22.0;19;abeyance;9;abeyance;@ b eI @ n s;əb?əns
2;ăbhŏʹr;L.;;;v.;23.0;19;abhor;6;abhor;{ b h O: r\;æbhOːɹ
3;ăbhŏʹrrence;;;;n.;24.0;19;abhorrence;11;abhorrence;@ b h O: r\ @ n s;əbhOːɹəns
2;ābīʹde;;;;v.;25.0;19;abide;6;abide;@ b aI d;əb?d
2;ăʹbject;L.;;;a.;26.0;19;abject;7;abject;{ b dZ E k t;æb?ɛkt
4;abĭʹlĭty;;;;n.;27.0;19;ability;8;ability;@ b I l @ 4 i:;əbɪləɾiː
2;ăʹboard;;;;p.;36.0;19;aboard;7;aboard;@ b O: r\ d;əbOːɹd
2;ābōʹde;;;;n.;37.0;19;abode;6;abode;@ b @U d;əboʊd
3;ăbŏʹlĭſh;L.;;;v.;2.0;20;abolish;8;abolish;@ b A l i S;əbɑliʃ
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20;abominate;10;abominate;@ b A m @ n eI t;əbɑmən?t
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20;abomination;13;abomination;@ b A m @ n eI S @ n;əbɑmən?ʃən
4;ăborīʹgĭnes;L.;;;n.;5.0;20;aborigines;11;aborigines;{ b 3:r I dZ @ n i: z;æbɜ:rɪ?əniːz
4;ăbŏʹrtion;L.;;;n.;6.0;20;abortion;9;abortion;@ b O: r\ S @ n;əbOːɹʃən
3;ăbŏʹrtive;;;;a.;7.0;20;abortive;9;abortive;@ b O: r\ 4 i v;əbOːɹɾiv
2;abrĭʹdge;F.;;;v.;9.0;20;abridge;8;abridge;@ b r\ I dZ;əbɹɪ?
2;abroaʹd;;;;a.;11.0;20;abroad;7;abroad;@ b r\ O: d;əbɹOːd
3;ăʹbrŏgāte;L.;;;v.;12.0;20;abrogate;9;abrogate;{ b r\ @ g eI t;æbɹəg?t
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20;abrupt;6;abrupt;@ b r\ V p t;əbɹʌpt
2;ăʹbſcĕſs;L.;;;n.;14.0;20;abscess;8;abscess;{ b s E s;æbsɛs
2;ăʹbſĕnt;L.;;;v.;16.0;20;absent;7;absent;{ b s @ n t;æbsənt
3;ăbſĕnteeʹ;L.;;;n.;17.0;20;absentee;9;absentee;{ b s @ n t i:;æbsəntiː
2;ăbſŏʹlve;L.;;;v.;18.0;20;absolve;8;absolve;@ b z A l v;əbzɑlv
3;ăʹbſŏlūte;L.;;;a.;19.0;20;absolute;9;absolute;{ b s @ l u t;æbsəlut
5;ăbſŏlūʹtion;L.;;;n.;20.0;20;absolution;11;absolution;{ b s @ l u S @ n;æbsəluʃən
2;ăbſŏʹrb;L.;;;v.;21.0;20;absorb;7;absorb;@ b z O: r\ b;əbzOːɹb
2;ăbſtaiʹn;L.;;;v.;23.0;20;abstain;8;abstain;@ b s t eI n;əbst?n
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20;abstinence;11;abstinence;{ b s t @ n @ n s;æbstənəns
2;ăbſtrăʹct;L.;;;v.;27.0;20;abstract;9;abstract;{ b s t r\ { k t;æbstɹækt
2;ăbſtrūʹſe;L.;;;a.;28.0;20;abstruse;9;abstruse;@ b s t r\ u s;əbstɹus
2;ăbſŭʹrd;L.;;;a.;29.0;20;absurd;7;absurd;@ b s 3:r d;əbsɜ:rd
3;abŭʹndănce;;;;n.;30.0;20;abundance;10;abundance;@ b V n d @ n s;əbʌndəns
2;abūʹſe;L.;;;v.;31.0;20;abuse;6;abuse;@ b j u s;əbjus
2;ăbyʹſs;G.;;;n.;32.0;20;abyss;6;abyss;@ b I s;əbɪs
4;ăcăʹdĕmy;G.;;;n.;34.0;20;academy;8;academy;@ k { 4 @ m i:;əkæɾəmiː
2;ăccēʹde;L.;;;v.;36.0;20;accede;7;accede;{ k s i: d;æksiːd
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20;accelerate;11;accelerate;{ k s E l 3:r eI t;æksɛlɜ:r?t
2;ăcʹcĕnt;L.;;;n.;38.0;20;accent;7;accent;@ k s E n t;əksɛnt
2;ăccĕʹpt;L.;;;v.;39.0;20;accept;7;accept;{ k s E p t;æksɛpt
4;ăccĕʹptable;;;;a.;40.0;20;acceptable;11;acceptable;{ k s E p t @ b @ l;æksɛptəbəl
2;ăccĕʹſs;L.;;;n.;42.0;20;access;7;access;{ k s E s;æksɛs
4;ăccĕʹſſĭble;;;;a.;43.0;20;accessible;11;accessible;{ k s E s @ b @ l;æksɛsəbəl
4;ăccĕʹſſion;L.;;;n.;44.0;20;accession;10;accession;@ k s E S @ n;əksɛʃən
3;ăʹccĭdent;L.;;;n.;46.0;20;accident;9;accident;{ k s @ d @ n t;æksədənt
4;ăccŏʹmmodāte;L.;;;v.;49.0;20;accommodate;12;accommodate;@ k A m @ d eI t;əkɑməd?t
4;ăccŏʹmpăny;F.;;;v.;50.0;20;accompany;10;accompany;@ k V m p @ n i:;əkʌmpəniː
3;ăccŏʹmpliſh;F.;;;v.;51.0;20;accomplish;11;accomplish;@ k A m p l i S;əkɑmpliʃ
4;ăccŏʹmplĭſhed;;;;a.;52.0;20;accomplished;13;accomplished;@ k A m p l i S t;əkɑmpliʃt
3;ăccŏʹmplice;F.;;;n.;53.0;20;accomplice;11;accomplice;@ k A m p l @ s;əkɑmpləs
2;ăccoʹrd;F.;;;v.;55.0;20;accord;7;accord;@ k O: r\ d;əkOːɹd
2;ăccŏʹſt;F.;;;v.;56.0;20;accost;7;accost;@ k O: s t;əkOːst
4;ăccuʹmūlăte;L.;;;v.;63.0;20;accumulate;11;accumulate;@ k j u m j @ l eI t;əkjumjəl?t
4;ăʹccūracy;L.;;;n.;64.0;20;accuracy;9;accuracy;{ k j 3:r @ s i:;ækjɜ:rəsiː
3;ăccŭʹrſed;;;;a.;65.0;20;accursed;9;accursed;@ k 3:r s t;əkɜ:rst
2;ăccūʹſe;L.;;;v.;66.0;20;accuse;7;accuse;@ k j u z;əkjuz
5;ăccūſāʹtion;L.;;;n.;67.0;20;accusation;11;accusation;{ k j @ z eI S @ n;ækjəz?ʃən
4;ăccūʹſātive;;;;n.;68.0;20;accusative;11;accusative;@ k j u z @ 4 i v;əkjuzəɾiv
3;ăccŭʹſtom;F.;;;v.;69.0;20;accustom;9;accustom;@ k V s t @ m;əkʌstəm
1;āc_he_;;;;n.;72.0;20;ache;6;ache;eI k;?k
2;ăʹcid;L.;;;a.;2.0;21;acid;5;acid;{ s @ d;æsəd
2;ăʹcids;;;;n.;3.0;21;acids;6;acids;{ s @ d z;æsədz
4;ăc_k_nŏ_w_lĕdgment;;nbSyll>1 et pas d'accent tonic;;n.;4.0;21;acknowledgment;18;acknowledgment;{ k n A l i dZ m @ n t;æknɑli?mənt
2;ăʹcorn;;;;n.;6.0;21;acorn;6;acorn;eI k O: r\ n;?kOːɹn
2;ăcquaiʹnt;F.;;;v.;8.0;21;acquaint;9;acquaint;@ k w eI n t;əkw?nt
3;ăcquaĭʹntănce;;;;n.;9.0;21;acquaintance;13;acquaintance;@ k w eI n t @ n s;əkw?ntəns
3;acquĭe˘ʹſ_c__e_;L.;;;v.;10.0;21;acquiesce;15;acquiesce;{ k w i: E s;ækwiːɛs
2;ăcquīʹre;L.;;;v.;11.0;21;acquire;8;acquire;@ k w aI 3:r;əkw?ɜ:r
5;ăcquĭſĭʹtion;L.;;;n.;12.0;21;acquisition;12;acquisition;{ k w @ z I S @ n;ækwəzɪʃən
2;ăcquĭʹt;F.;;;v.;14.0;21;acquit;7;acquit;@ k w I t;əkwɪt
3;ăcquĭʹttal;F.;;;n.;15.0;21;acquittal;10;acquittal;@ k w I 4 @ l;əkwɪɾəl
2;āʹcre;;;;n.;17.0;21;acre;5;acre;eI k 3:r;?kɜ:r
4;ăʹcrĭmony;L.;;;n.;18.0;21;acrimony;9;acrimony;{ k r\ i m @U n i:;ækɹimoʊniː
1;ăct;L.;;;v.;21.0;21;act;3;act;{ k t;ækt
3;ăʹction;L.;;;n.;22.0;21;action;7;action;{ k S @ n;ækʃən
5;ăʹctionable;;;;a.;23.0;21;actionable;11;actionable;{ k S @ n @ b @ l;ækʃənəbəl
2;ăʹctĭve;L.;;;a.;24.0;21;active;7;active;{ k t i v;æktiv
4;ăctĭʹvĭty;L.;;;n.;25.0;21;activity;9;activity;{ k t I v @ 4 i:;æktɪvəɾiː
2;ăʹctor;L.;;;n.;26.0;21;actor;6;actor;{ k t 3:r;æktɜ:r
2;ăʹctrĕſs;;;;n.;27.0;21;actress;8;actress;{ k t r\ @ s;æktɹəs
3;ăʹctūal;F.;;;a.;28.0;21;actual;7;actual;{ k tS @ w @ l;æk?əwəl
4;ăʹctūāry;L.;;;n.;29.0;21;actuary;8;actuary;{ k tS @ w E r\ i:;æk?əwɛɹiː
3;ăʹctūāte;L.;;;v.;30.0;21;actuate;8;actuate;{ k tS u w eI t;æk?uw?t
2;acūʹte;L.;;;a.;31.0;21;acute;6;acute;@ k j u t;əkjut
2;āʹdāge;L.;;;n.;32.0;21;adage;6;adage;{ 4 @ dZ;æɾə?
4;adāʹgĭo;;;;a.;33.0;21;adagio;7;adagio;@ d A Z i: @U;ədɑʒiːoʊ
3;ăʹdămant;L.;;;n.;34.0;21;adamant;8;adamant;{ 4 @ m @ n t;æɾəmənt
2;adăʹpt;L.;;;v.;37.0;21;adapt;6;adapt;@ d { p t;ədæpt
3;adăʹpted;;;;v.;38.0;21;adapted;8;adapted;@ d { p t @ d;ədæptəd
2;āʹdar;;;;n.;39.0;21;adar;5;adar;@ d A r\;ədɑɹ
1;ădd;L.;;;v.;40.0;21;add;3;add;{ d;æd
2;ăʹdder;;;;n.;41.0;21;adder;6;adder;{ 4 3:r;æɾɜ:r
2;ăddĭʹct;L.;;;v.;43.0;21;addict;7;addict;@ d I k t;ədɪkt
4;ăddĭʹtion;L.;;;n.;45.0;21;addition;9;addition;@ d I S @ n;ədɪʃən
5;ăddĭʹtional;;;;a.;46.0;21;additional;11;additional;@ d I S @ n @ l;ədɪʃənəl
2;ăʹddle;;;;a.;47.0;21;addle;6;addle;{ 4 @ l;æɾəl
2;ăddrĕʹſs;F.;;;n.;48.0;21;address;8;address;{ d r\ E s;ædɹɛs
3;ăʹdĕquāte;L.;;;a.;51.0;21;adequate;9;adequate;{ 4 @ k w @ t;æɾəkwət
2;ădhēre;L.;nbSyll>1 et pas d'accent tonic;;v.;54.0;21;adhere;6;adhere;@ d h I r\;ədhɪɹ
3;ădhēʹrĕnce;L.;;;n.;55.0;21;adherence;10;adherence;@ d h I r\ @ n s;ədhɪɹəns
3;ădhēʹrent;L.;;;n.;56.0;21;adherent;9;adherent;@ d h I r\ @ n t;ədhɪɹənt
3;ădjāʹcent;L.;;;a.;58.0;21;adjacent;9;adjacent;@ dZ eI s @ n t;ə??sənt
